Timestamp,Device_Side,Device_Address,Sensor_Timestamp_ms,Serial_Number,Packet_Number,Sensor_Type,W,X,Y,Z
2026-05-26 11:38:19.690,Left,F4:1B:9B:AF:20:5D,1779770281066,6822,0,ACC,,-0.8223,-0.4624,0.1597
2026-05-26 11:38:19.691,Left,F4:1B:9B:AF:20:5D,1779770281066,6822,0,GYRO,,-7.019,-22.583,-23.0103
2026-05-26 11:38:19.692,Left,F4:1B:9B:AF:20:5D,1779770281066,6822,0,QUAT,-0.2327,-0.1191,-0.3349,-0.2635
2026-05-26 11:38:19.693,Left,F4:1B:9B:AF:20:5D,1779770281080,6822,1,ACC,,-0.8032,-0.375,0.0864
2026-05-26 11:38:19.694,Left,F4:1B:9B:AF:20:5D,1779770281080,6822,1,GYRO,,1.2207,-10.437,-16.9678
2026-05-26 11:38:19.696,Left,F4:1B:9B:AF:20:5D,1779770281080,6822,1,QUAT,-0.2331,-0.1186,-0.3348,-0.2635
2026-05-26 11:38:19.699,Left,F4:1B:9B:AF:20:5D,1779770281090,6822,2,ACC,,-0.8525,-0.3267,0.002
2026-05-26 11:38:19.701,Left,F4:1B:9B:AF:20:5D,1779770281090,6822,2,GYRO,,2.1362,1.709,-15.2588
2026-05-26 11:38:19.703,Left,F4:1B:9B:AF:20:5D,1779770281090,6822,2,QUAT,-0.2333,-0.1185,-0.3348,-0.2635
2026-05-26 11:38:19.704,Left,F4:1B:9B:AF:20:5D,1779770281095,6822,3,ACC,,-0.9185,-0.3247,-0.041
2026-05-26 11:38:19.705,Left,F4:1B:9B:AF:20:5D,1779770281095,6822,3,GYRO,,-4.5776,9.1553,-15.0146
2026-05-26 11:38:19.705,Left,F4:1B:9B:AF:20:5D,1779770281095,6822,3,QUAT,-0.2332,-0.1184,-0.3351,-0.2632
2026-05-26 11:38:19.713,Left,F4:1B:9B:AF:20:5D,1779770281085,6823,0,ACC,,-0.9644,-0.3579,-0.0503
2026-05-26 11:38:19.714,Left,F4:1B:9B:AF:20:5D,1779770281085,6823,0,GYRO,,-12.8174,9.5215,-13.855
2026-05-26 11:38:19.715,Left,F4:1B:9B:AF:20:5D,1779770281085,6823,0,QUAT,-0.233,-0.1182,-0.3355,-0.2629
2026-05-26 11:38:19.717,Left,F4:1B:9B:AF:20:5D,1779770281099,6823,1,ACC,,-0.979,-0.3838,-0.0405
2026-05-26 11:38:19.718,Left,F4:1B:9B:AF:20:5D,1779770281099,6823,1,GYRO,,-17.9443,4.5166,-11.7798
2026-05-26 11:38:19.718,Left,F4:1B:9B:AF:20:5D,1779770281099,6823,1,QUAT,-0.2328,-0.1179,-0.3359,-0.2628
2026-05-26 11:38:19.718,Left,F4:1B:9B:AF:20:5D,1779770281109,6823,2,ACC,,-0.9692,-0.3975,-0.0273
2026-05-26 11:38:19.719,Left,F4:1B:9B:AF:20:5D,1779770281109,6823,2,GYRO,,-19.5312,-2.0752,-9.3384
2026-05-26 11:38:19.719,Left,F4:1B:9B:AF:20:5D,1779770281109,6823,2,QUAT,-0.2325,-0.1175,-0.3362,-0.2628
2026-05-26 11:38:19.721,Left,F4:1B:9B:AF:20:5D,1779770281114,6823,3,ACC,,-0.9536,-0.4058,-0.0166
2026-05-26 11:38:19.722,Left,F4:1B:9B:AF:20:5D,1779770281114,6823,3,GYRO,,-19.5923,-7.0801,-6.6528
2026-05-26 11:38:19.722,Left,F4:1B:9B:AF:20:5D,1779770281114,6823,3,QUAT,-0.2325,-0.117,-0.3365,-0.2628
2026-05-26 11:38:19.727,Right,D0:A3:43:7D:01:BD,1779770273976,6744,0,ACC,,-1.1279,-0.4263,0.3838
2026-05-26 11:38:19.728,Right,D0:A3:43:7D:01:BD,1779770273976,6744,0,GYRO,,40.0391,62.561,79.9561
2026-05-26 11:38:19.729,Right,D0:A3:43:7D:01:BD,1779770273976,6744,0,QUAT,-0.289,-0.1407,-0.3135,-0.2199
2026-05-26 11:38:19.729,Right,D0:A3:43:7D:01:BD,1779770273990,6744,1,ACC,,-1.062,-0.4541,0.3281
2026-05-26 11:38:19.730,Right,D0:A3:43:7D:01:BD,1779770273990,6744,1,GYRO,,58.7769,34.4849,82.8247
2026-05-26 11:38:19.731,Right,D0:A3:43:7D:01:BD,1779770273990,6744,1,QUAT,-0.2888,-0.143,-0.3124,-0.2202
